# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.11.2

afkrewards::driveen::keys, long, 0000000000000004
afkrewards::driveen::money, long, 000000000000293B
afkrewards::driveen::tokens, long, 0000000000000022
autocompress::driveen, boolean, 01
autosell::driveen, boolean, 00
autosell::nasserz_, boolean, 00
bedrock::driveen, string, 800744656661756C74
bedrock::larulecio, string, 800744656661756C74
bedrock::nasserz_, string, 800744656661756C74
"blockdata::amethyst block::1", string, 8008616D657468797374
"blockdata::amethyst block::2", long, 0000000000000046
"blockdata::amethyst block::3", long, 0000000000000006
blockdata::beetroot::1, string, 800862656574726F6F74
blockdata::beetroot::2, long, 0000000000000096
blockdata::beetroots::1, string, 800862656574726F6F74
blockdata::beetroots::2, long, 0000000000000096
blockdata::beetroots::3, long, 0000000000000004
"blockdata::birch log::1", string, 80056269726368
"blockdata::birch log::2", long, 0000000000000019
"blockdata::birch log::3", long, 0000000000000002
"blockdata::brain coral::1", string, 800B627261696E20636F72616C
"blockdata::brain coral::2", long, 00000000000003E8
"blockdata::brain coral::3", long, 0000000000000009
"blockdata::bubble coral::1", string, 800C627562626C6520636F72616C
"blockdata::bubble coral::2", long, 0000000000000514
"blockdata::bubble coral::3", long, 000000000000000A
blockdata::carrot::1, string, 8006636172726F74
blockdata::carrot::2, long, 000000000000005A
blockdata::carrots::1, string, 8006636172726F74
blockdata::carrots::2, long, 000000000000005A
blockdata::carrots::3, long, 0000000000000003
blockdata::cobblestone::1, string, 8006636F62626C65
blockdata::cobblestone::2, long, 0000000000000000
blockdata::cobblestone::3, long, 0000000000000001
"blockdata::crimson roots::1", string, 800D6372696D736F6E20726F6F7473
"blockdata::crimson roots::2", long, 0000000000000898
"blockdata::crimson roots::3", long, 000000000000000D
"blockdata::dark oak log::1", string, 80076461726B6F616B
"blockdata::dark oak log::2", long, 000000000000004B
"blockdata::dark oak log::3", long, 0000000000000004
"blockdata::diamond ore::1", string, 80076469616D6F6E64
"blockdata::diamond ore::2", long, 0000000000000028
"blockdata::diamond ore::3", long, 0000000000000004
"blockdata::emerald ore::1", string, 8007656D6572616C64
"blockdata::emerald ore::2", long, 0000000000000032
"blockdata::emerald ore::3", long, 0000000000000005
"blockdata::fire coral::1", string, 800A6669726520636F72616C
"blockdata::fire coral::2", long, 0000000000000640
"blockdata::fire coral::3", long, 000000000000000B
"blockdata::gold ore::1", string, 8004676F6C64
"blockdata::gold ore::2", long, 000000000000000F
"blockdata::gold ore::3", long, 0000000000000003
"blockdata::honeycomb block::1", string, 8009686F6E6579636F6D62
"blockdata::honeycomb block::2", long, 0000000000000064
"blockdata::honeycomb block::3", long, 0000000000000007
"blockdata::horn coral::1", string, 800A686F726E20636F72616C
"blockdata::horn coral::2", long, 000000000000076C
"blockdata::horn coral::3", long, 000000000000000C
